Src_Player_Id,First_Deposit_Date,First_Deposit_Channel,First_Deposit_Method,First_Deposit_Amount
12735285,2019-03-26 14:50:55,Online,VISA,30
14880090,NULL,NULL,NULL,NULL
12806040,NULL,NULL,NULL,NULL
13727344,NULL,NULL,NULL,NULL
15545965,NULL,NULL,NULL,NULL
17916809,NULL,NULL,NULL,NULL
16797253,NULL,NULL,NULL,NULL
16823402,NULL,NULL,NULL,NULL
14645960,2019-12-27 20:23:50,Online,MC,100
12489110,NULL,NULL,NULL,NULL
15094544,NULL,NULL,NULL,NULL
18415683,NULL,NULL,NULL,NULL
20532839,2021-06-16 10:50:05,Retail,RetailDeposit,10
13857016,NULL,NULL,NULL,NULL
14732693,2020-01-10 13:07:57,Retail,RetailDeposit,100
16431221,2020-07-31 17:37:25,Retail,RetailDeposit,10
20756282,NULL,NULL,NULL,NULL
15246471,NULL,NULL,NULL,NULL
17944408,NULL,NULL,NULL,NULL
15683942,NULL,NULL,NULL,NULL
14766431,NULL,NULL,NULL,NULL
15179525,2020-03-25 12:20:11,Online,MC,25
13257344,NULL,NULL,NULL,NULL
15106962,NULL,NULL,NULL,NULL
13820146,NULL,NULL,NULL,NULL
16282405,NULL,NULL,NULL,NULL
16146139,NULL,NULL,NULL,NULL
16749254,NULL,NULL,NULL,NULL
18383971,NULL,NULL,NULL,NULL
17233622,NULL,NULL,NULL,NULL
15704175,NULL,NULL,NULL,NULL
14581928,2021-01-15 17:18:44,Online,VISA,50
13653640,NULL,NULL,NULL,NULL
15934608,2020-05-29 20:13:51,Online,VISA,50
20138668,NULL,NULL,NULL,NULL
17656834,NULL,NULL,NULL,NULL
14592452,2019-12-20 08:18:05,Online,VISA,500
15867622,NULL,NULL,NULL,NULL
14915837,NULL,NULL,NULL,NULL
14553630,NULL,NULL,NULL,NULL
20404749,2021-06-11 13:33:16,Online,PaysafecardViaSC,25
14771971,NULL,NULL,NULL,NULL
14532579,NULL,NULL,NULL,NULL
14545828,NULL,NULL,NULL,NULL
17916027,NULL,NULL,NULL,NULL
15740292,NULL,NULL,NULL,NULL
13716163,NULL,NULL,NULL,NULL
12851233,2019-04-22 21:12:42,Online,VISA,150
14517027,NULL,NULL,NULL,NULL
17650945,2020-12-22 00:34:48,Online,VISA,150
13953609,2019-11-22 14:22:04,Online,MC,50
14788230,NULL,NULL,NULL,NULL
14485319,2019-12-04 15:00:23,Online,PaysafecardViaSC,25
16602875,NULL,NULL,NULL,NULL
14823490,NULL,NULL,NULL,NULL
13744949,NULL,NULL,NULL,NULL
16843601,NULL,NULL,NULL,NULL
13228437,NULL,NULL,NULL,NULL
20635213,NULL,NULL,NULL,NULL
17243893,NULL,NULL,NULL,NULL
14555185,2019-12-14 16:36:19,Online,MC,30
17196630,NULL,NULL,NULL,NULL
13908939,NULL,NULL,NULL,NULL
18024738,NULL,NULL,NULL,NULL
18232009,NULL,NULL,NULL,NULL
16507173,NULL,NULL,NULL,NULL
14859700,NULL,NULL,NULL,NULL
17042171,NULL,NULL,NULL,NULL
13466110,2019-09-10 17:37:14,Online,VISA,300
13848461,NULL,NULL,NULL,NULL
15324103,NULL,NULL,NULL,NULL
18364542,NULL,NULL,NULL,NULL
16228470,2020-07-02 09:08:34,Retail,RetailDeposit,10
13442492,NULL,NULL,NULL,NULL
17194156,2020-09-20 11:04:16,Retail,RetailDeposit,10
20665723,2021-06-27 09:53:51,Retail,RetailDeposit,30
17802715,NULL,NULL,NULL,NULL
15645381,NULL,NULL,NULL,NULL
17218564,NULL,NULL,NULL,NULL
15086352,NULL,NULL,NULL,NULL
14534654,NULL,NULL,NULL,NULL
13081713,2019-05-26 18:09:32,Online,PaysafecardViaSC,25
14848754,NULL,NULL,NULL,NULL
15020659,NULL,NULL,NULL,NULL
14675448,NULL,NULL,NULL,NULL
14863458,NULL,NULL,NULL,NULL
13428761,NULL,NULL,NULL,NULL
13368241,NULL,NULL,NULL,NULL
17243717,NULL,NULL,NULL,NULL
20562700,NULL,NULL,NULL,NULL
15290813,NULL,NULL,NULL,NULL
18559076,2020-12-30 11:24:27,Online,PaysafecardViaSC,50
12393134,NULL,NULL,NULL,NULL
20636524,2021-06-25 07:00:27,Online,VISA,50
18361370,NULL,NULL,NULL,NULL
17057053,NULL,NULL,NULL,NULL
17519231,2020-10-21 11:06:27,Online,VISA,104
13830008,NULL,NULL,NULL,NULL
14920940,NULL,NULL,NULL,NULL
13464348,NULL,NULL,NULL,NULL
20262225,2021-05-18 17:16:10,Online,VISA,25
14583484,NULL,NULL,NULL,NULL
13795989,NULL,NULL,NULL,NULL
20135159,NULL,NULL,NULL,NULL
16520809,NULL,NULL,NULL,NULL
15740637,NULL,NULL,NULL,NULL
17560851,NULL,NULL,NULL,NULL
18005701,2020-11-22 19:24:04,Online,MC,80
16141344,NULL,NULL,NULL,NULL
19808918,2021-04-11 14:21:16,Retail,RetailDeposit,50
13293460,2019-07-26 14:46:41,Online,MC,80
15879611,NULL,NULL,NULL,NULL
13796943,2019-10-30 21:25:31,Online,MC,25
15347667,NULL,NULL,NULL,NULL
14576028,NULL,NULL,NULL,NULL
17233384,NULL,NULL,NULL,NULL
12743120,NULL,NULL,NULL,NULL
17320642,NULL,NULL,NULL,NULL
13617487,NULL,NULL,NULL,NULL
13622671,NULL,NULL,NULL,NULL
12481781,2019-08-29 18:28:51,Online,PaysafecardViaSC,200
14508125,NULL,NULL,NULL,NULL
13299344,NULL,NULL,NULL,NULL
13377773,NULL,NULL,NULL,NULL
13678542,NULL,NULL,NULL,NULL
17310261,NULL,NULL,NULL,NULL
13257972,NULL,NULL,NULL,NULL
15217368,NULL,NULL,NULL,NULL
16412349,2020-07-18 17:34:56,Online,VISA,100
14788478,NULL,NULL,NULL,NULL
14980278,NULL,NULL,NULL,NULL
15057823,NULL,NULL,NULL,NULL
16670680,2020-08-15 08:48:35,Retail,RetailDeposit,10
20489734,NULL,NULL,NULL,NULL
17314848,2020-10-01 07:49:03,Retail,RetailDeposit,30
16241332,2020-07-06 07:21:28,Retail,RetailDeposit,70
15986120,NULL,NULL,NULL,NULL
15184745,NULL,NULL,NULL,NULL
13585132,NULL,NULL,NULL,NULL
15033538,NULL,NULL,NULL,NULL
15100950,NULL,NULL,NULL,NULL
13701701,2020-03-25 10:43:23,Online,VISA,25
13963166,NULL,NULL,NULL,NULL
12353143,NULL,NULL,NULL,NULL
15040587,NULL,NULL,NULL,NULL
15832721,NULL,NULL,NULL,NULL
14589526,NULL,NULL,NULL,NULL
13953070,NULL,NULL,NULL,NULL
20812026,NULL,NULL,NULL,NULL
17120422,NULL,NULL,NULL,NULL
15295267,NULL,NULL,NULL,NULL
20800385,2021-07-10 14:18:54,Online,VISA,50
12652538,NULL,NULL,NULL,NULL
20524070,2021-06-15 14:30:19,Online,VISA,50
20228126,NULL,NULL,NULL,NULL
16084473,NULL,NULL,NULL,NULL
18099930,2020-11-29 15:29:33,Online,VISA,400
16334675,NULL,NULL,NULL,NULL
15366656,NULL,NULL,NULL,NULL
16392039,NULL,NULL,NULL,NULL
13371802,2019-08-18 02:01:33,Online,MC,25
16233935,NULL,NULL,NULL,NULL
15902760,NULL,NULL,NULL,NULL
17604993,NULL,NULL,NULL,NULL
15833007,NULL,NULL,NULL,NULL
15813360,NULL,NULL,NULL,NULL
13958898,NULL,NULL,NULL,NULL
14851039,2020-01-27 12:13:41,Online,VISA,25
13258216,NULL,NULL,NULL,NULL
19663378,2021-03-27 14:02:41,Online,PaysafecardViaSC,50
16192435,2020-06-28 11:58:32,Online,VISA,50
13685934,NULL,NULL,NULL,NULL
16408292,2020-07-18 09:48:56,Online,VISA,25
12805188,NULL,NULL,NULL,NULL
17499538,NULL,NULL,NULL,NULL
18041907,NULL,NULL,NULL,NULL
15913598,NULL,NULL,NULL,NULL
17686423,NULL,NULL,NULL,NULL
13955875,NULL,NULL,NULL,NULL
13515638,NULL,NULL,NULL,NULL
13491078,2019-09-16 08:30:20,Online,MC,70
16439433,NULL,NULL,NULL,NULL
14455736,NULL,NULL,NULL,NULL
18194818,NULL,NULL,NULL,NULL
14689932,NULL,NULL,NULL,NULL
14432586,NULL,NULL,NULL,NULL
14926423,NULL,NULL,NULL,NULL
14569791,NULL,NULL,NULL,NULL
15284574,2020-03-29 14:40:40,Online,PaysafecardViaSC,100
13506131,NULL,NULL,NULL,NULL
15219475,NULL,NULL,NULL,NULL
13503950,NULL,NULL,NULL,NULL
17797846,2020-11-07 12:53:05,Retail,RetailDeposit,140
13772978,NULL,NULL,NULL,NULL
18173295,2020-12-04 18:21:41,Retail,RetailDeposit,100
13699390,2019-10-16 08:57:53,Retail,RetailDeposit,70
17827935,NULL,NULL,NULL,NULL
15320993,NULL,NULL,NULL,NULL
12985926,NULL,NULL,NULL,NULL
15209400,NULL,NULL,NULL,NULL
15386072,NULL,NULL,NULL,NULL
13600345,2019-09-28 18:15:57,Online,MC,25
14592429,NULL,NULL,NULL,NULL
16102068,NULL,NULL,NULL,NULL
14515213,NULL,NULL,NULL,NULL
18062369,NULL,NULL,NULL,NULL
13245199,NULL,NULL,NULL,NULL
13855566,NULL,NULL,NULL,NULL
20286001,NULL,NULL,NULL,NULL
17926384,NULL,NULL,NULL,NULL
13362588,NULL,NULL,NULL,NULL
20610995,2021-06-22 19:24:07,Online,VISA,50
12989894,NULL,NULL,NULL,NULL
20771993,2021-07-09 03:18:11,Online,MC,50
17249545,NULL,NULL,NULL,NULL
13734741,NULL,NULL,NULL,NULL
14480276,2019-12-03 13:39:56,Retail,RetailDeposit,500
16086790,NULL,NULL,NULL,NULL
15322202,NULL,NULL,NULL,NULL
13696123,NULL,NULL,NULL,NULL
20329453,2021-06-06 00:16:59,Online,VISA,25
18219679,NULL,NULL,NULL,NULL
15124908,NULL,NULL,NULL,NULL
14779569,NULL,NULL,NULL,NULL
15920419,NULL,NULL,NULL,NULL
16573034,NULL,NULL,NULL,NULL
16823267,NULL,NULL,NULL,NULL
14534522,2019-12-11 20:37:35,Online,VISA,25
13314622,NULL,NULL,NULL,NULL
18485415,2020-12-23 09:05:52,Retail,RetailDeposit,200
12797081,2019-04-09 16:58:48,Online,MC,50
14756248,NULL,NULL,NULL,NULL
17164349,2020-09-21 18:05:52,Online,PaysafecardViaSC,25
13112097,NULL,NULL,NULL,NULL
12453610,NULL,NULL,NULL,NULL
14992272,NULL,NULL,NULL,NULL
16023525,NULL,NULL,NULL,NULL
14906262,NULL,NULL,NULL,NULL
15665264,NULL,NULL,NULL,NULL
15314914,NULL,NULL,NULL,NULL
16187080,2020-11-21 17:37:17,Online,MC,30
12599272,NULL,NULL,NULL,NULL
13729317,NULL,NULL,NULL,NULL
13640618,NULL,NULL,NULL,NULL
15192048,NULL,NULL,NULL,NULL
13848620,NULL,NULL,NULL,NULL
16266984,NULL,NULL,NULL,NULL
17059377,NULL,NULL,NULL,NULL
19074233,2021-02-10 00:00:53,Online,VISA,300
18450195,NULL,NULL,NULL,NULL
15588181,NULL,NULL,NULL,NULL
17705300,NULL,NULL,NULL,NULL
16360268,2020-07-14 09:47:39,Retail,RetailDeposit,60
16236373,NULL,NULL,NULL,NULL
20287704,2021-05-21 15:31:46,Retail,RetailDeposit,100
14644989,2020-01-19 16:15:15,Retail,RetailDeposit,15
20380741,NULL,NULL,NULL,NULL
14905163,NULL,NULL,NULL,NULL
17944143,NULL,NULL,NULL,NULL
15341378,NULL,NULL,NULL,NULL
14794864,NULL,NULL,NULL,NULL
15266685,2020-03-27 22:00:12,Online,PaysafecardViaSC,25
13613083,NULL,NULL,NULL,NULL
12538054,NULL,NULL,NULL,NULL
14852828,NULL,NULL,NULL,NULL
13738186,NULL,NULL,NULL,NULL
16267470,NULL,NULL,NULL,NULL
14505798,NULL,NULL,NULL,NULL
18215359,NULL,NULL,NULL,NULL
18000111,NULL,NULL,NULL,NULL
13819743,NULL,NULL,NULL,NULL
20621396,2021-06-23 19:02:09,Online,VISA,50
12554158,NULL,NULL,NULL,NULL
15823208,2020-05-17 07:48:33,Online,VISA,50
17877363,NULL,NULL,NULL,NULL
14526129,NULL,NULL,NULL,NULL
13628085,2019-10-11 14:29:36,Online,MC,200
15742479,NULL,NULL,NULL,NULL
14948374,NULL,NULL,NULL,NULL
14479041,NULL,NULL,NULL,NULL
18396417,2020-12-15 21:36:54,Online,VISA,25
18421723,NULL,NULL,NULL,NULL
17414521,NULL,NULL,NULL,NULL
14478786,NULL,NULL,NULL,NULL
16454136,NULL,NULL,NULL,NULL
15827297,NULL,NULL,NULL,NULL
18361272,NULL,NULL,NULL,NULL
14897729,2020-02-24 17:29:49,Online,MC,50
14766020,NULL,NULL,NULL,NULL
16088048,2021-01-13 14:19:51,Online,VISA,50
13065582,2019-05-21 04:16:49,Online,VISA,25
13942033,NULL,NULL,NULL,NULL
13465098,2019-09-10 14:04:12,Online,MC,25
17258849,NULL,NULL,NULL,NULL
16034791,NULL,NULL,NULL,NULL
13740646,NULL,NULL,NULL,NULL
16023567,NULL,NULL,NULL,NULL
17580644,NULL,NULL,NULL,NULL
14459491,NULL,NULL,NULL,NULL
14954264,NULL,NULL,NULL,NULL
14955080,2020-02-13 17:46:14,Online,VISA,200
14504748,NULL,NULL,NULL,NULL
14699916,NULL,NULL,NULL,NULL
15845897,NULL,NULL,NULL,NULL
14927738,NULL,NULL,NULL,NULL
13911789,NULL,NULL,NULL,NULL
15981801,NULL,NULL,NULL,NULL
17171370,NULL,NULL,NULL,NULL
13585715,2019-09-25 15:49:24,Online,VISA,30
16389403,NULL,NULL,NULL,NULL
15428236,NULL,NULL,NULL,NULL
18004104,NULL,NULL,NULL,NULL
16258439,2020-07-05 10:17:54,Retail,RetailDeposit,10
18241912,NULL,NULL,NULL,NULL
20727710,2021-07-03 07:17:31,Retail,RetailDeposit,10
16210683,2020-07-01 08:01:51,Retail,RetailDeposit,100
17605489,NULL,NULL,NULL,NULL
15320724,NULL,NULL,NULL,NULL
14983395,NULL,NULL,NULL,NULL
15512290,NULL,NULL,NULL,NULL
14886611,NULL,NULL,NULL,NULL
13254130,2019-07-13 08:24:52,Online,VISA,25
14982731,NULL,NULL,NULL,NULL
13617095,NULL,NULL,NULL,NULL
13520762,NULL,NULL,NULL,NULL
16125214,NULL,NULL,NULL,NULL
13638821,NULL,NULL,NULL,NULL
16744077,NULL,NULL,NULL,NULL
19465039,NULL,NULL,NULL,NULL
17855227,NULL,NULL,NULL,NULL
15893727,NULL,NULL,NULL,NULL
20691215,2021-07-03 10:38:52,Online,VISA,50
12666029,NULL,NULL,NULL,NULL
20489040,2021-06-12 12:57:06,Online,VISA,50
17749330,NULL,NULL,NULL,NULL
13919032,NULL,NULL,NULL,NULL
14456846,2019-11-29 17:44:44,Online,VISA,500
15846884,NULL,NULL,NULL,NULL
15652564,NULL,NULL,NULL,NULL
14612561,NULL,NULL,NULL,NULL
20258468,2021-05-18 07:11:50,Online,VISA,25
12403069,NULL,NULL,NULL,NULL
13715098,NULL,NULL,NULL,NULL
15562950,NULL,NULL,NULL,NULL
17416200,NULL,NULL,NULL,NULL
18186471,NULL,NULL,NULL,NULL
14600532,NULL,NULL,NULL,NULL
15044609,2020-02-28 19:38:49,Online,VISA,25
13980960,NULL,NULL,NULL,NULL
17864795,2020-11-12 10:05:11,Online,PaysafecardViaSC,25
14983051,2020-02-18 15:03:16,Online,VISA,30
13320815,NULL,NULL,NULL,NULL
13241346,2019-07-09 10:48:37,Online,MC,25
13202239,NULL,NULL,NULL,NULL
16613607,NULL,NULL,NULL,NULL
15948014,NULL,NULL,NULL,NULL
13370964,NULL,NULL,NULL,NULL
12850500,NULL,NULL,NULL,NULL
13445589,NULL,NULL,NULL,NULL
13444864,NULL,NULL,NULL,NULL
13192380,2019-06-24 13:58:39,Online,VISA,100
14768554,NULL,NULL,NULL,NULL
12430605,NULL,NULL,NULL,NULL
